"","Line #","Name","Description","Designator","Quantity","Manufacturer 1","Manufacturer Part Number 1","Manufacturer Lifecycle 1","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Supplier Subtotal 1"
,"","5-104363-3","Board Connector, 4 Contact(s), 1 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Plug","J3","1","TE Connectivity","5-104363-3","Volume Production","Future Electronics","7581069","0.65","0.65"
,"","BQ24075RGTR","Power Supply Support Circuit, Adjustable, 1 Channel, 6.6, PQCC16","U3","1","Texas Instruments","BQ24075RGTR","Volume Production","ZTZ Technology Limited","BQ24075RGTR","0.972","0.972"
,"","EDK106M035A9BAA","Aluminum Electrolytic Capacitor, Polarized, Aluminum (wet), 35V, 20% +Tol, 20% -Tol, 10uF, Surface Mount, 1717","C18","1","KEMET","EDK106M035A9BAA","Volume Production","Digikey","399-14794-1-ND","0.25","0.25"
,"","CAP 0603 0.1UF 10V 10% X7R","Capacitor Surface Mount 0603 Footprint 0.1UF 10V 10% Tolerance Ceramic X7R","C19, C20","2","Yageo","CC0603KRX7R6BB104","Volume Production","Digikey","311-4055-1-ND","0.1","0.2"
,"","SM04B-SRSS-TB(LF)(SN)","Sparkfun QWIIC Connector Header, Side Entry, SR Series, 4 Position, 1.00mm, 50V, Surface Mount, Tin, Natural","J10, J11, J12, J13, J14, J15","6","JST","SM04B-SRSS-TB(LF)(SN)","Volume Production","Ameya360","SM04B-SRSS-TB(LF)(SN)","0.13928","0.83568"
,"","MHDR 1X6","Header, 6-Pin, 0.1in Pitch, Male","J16","1","Adam Equipment","PH1-06-UA","Not Recommended for New Design","Arrow Electronics","PH1-06-UA","0.117","0.117"
,"","744316100","744316100 Inductor Power Shielded Wirewound 1uH/0.65uH 20% 100KHz 11.5A 0.00475Ohm DCR Automotive T/R","L2","1","Wurth Electronics","744316100","Volume Production","Mouser","710-744316100","2.71","2.71"
,"","61200621621",,"P7","1","Wurth Electronics","61200621621","Volume Production","Digikey","732-5394-ND","0.48","0.48"
,"","BSS138","Small Signal Field-Effect Transistor, 0.22A I(D), 50V, 1-Element, N-Channel, Silicon, Metal-oxide Semiconductor FET","Q1_1, Q1_2, Q1_3, Q2_1, Q2_2, Q2_3","6","ON Semiconductor / Fairchild","BSS138","Volume Production","Digikey","BSS138CT-ND","0.35","2.1"
,"21","RES 0603 10K 1%","Resistor Surface Mount, 10K Ohms, 0603 Footprint, 1% Tolerance 0.1W","R22_1, R22_2, R22_3, R23_1, R23_2, R23_3, R24_1, R24_2, R24_3, R25_1, R25_2, R25_3, R51","13","Stackpole Electronics","RMCF0603FT10K0","Volume Production","Digikey","RMCF0603FT10K0CT-ND","0.015","0.195"
,"","LIS2DH12TR","ACCEL 2-16G I2C/SPI 12LGA","U4","1","STMicroelectronics","LIS2DH12TR","Volume Production","Mouser","511-LIS2DH12TR","2.12","2.12"
,"","DRV2605LTDGSRQ1","IC MOTOR DRIVER 2V-5.2V 10VSSOP","U5_1, U5_2","2","Texas Instruments","DRV2605LTDGSRQ1","Volume Production","Mouser","595-DRV2605LTDGSRQ1","2.66","5.32"
,"","TPS62082DSGR","Buck Step Down Regulator with 2.3 to 6 V Input and 3.3 V Output, -40 to 85 degC, 8-Pin WSON (DSG), Green (RoHS & no Sb/Br)","U8","1","Texas Instruments","TPS62082DSGR","Volume Production","Mouser","595-TPS62082DSGR","1.64","1.64"
,"","LM358ADR","Operational Amplifier, 2 Func, 5000uV Offset-Max, BIPolar, PDSO8","U9","1","Texas Instruments","LM358ADR","Volume Production","Mouser","595-LM358ADR","0.41","0.41"
,"","3362P-1-103LF","Square Trimpot(R) Trimming Potentiometer, 10 KOhm, 300 V, -55 to 125 degC, 3-Pin THD, RoHS, Tube","VR1, VR2","2","Bourns","3362P-1-103LF","Volume Production","Digikey","3362P-103LF-ND","1.13","2.26"
,"","RES 0603 100K 1%","Resistor Surface Mount, 100K Ohms, 0603 Footprint, 1% Tolerance 0.1W","R15, R16, R17, R26_1, R26_2","5","Stackpole Electronics","RMCF0603FT100K","Volume Production","NAC Semi","RMCF0603FT100K","0.005","0.025"
